FCLTY_NM,CTPRVN_NM,FCLTY_TY_NM,PROGRM_NM,FCLTY_ADDR,latitude,longitude,PROGRM_TY_NM
동작구민체육센터수영장,서울특별시,수영장,수영[소수정예]특화 금   동작구민체육센터 수영[소수정예]특화-금 금15시중급[평영발~한팔접영]/중등생~성인 성인수영소수C   동작구민체육센터 수영[소수정예]특화-금 금15시중급[평영발~한팔접영]/중등생~성인 성인수영소수C,신대방동 460-1,37.4947228,126.9167802,"수 영[소수정예]특화, 수 영[단체:강습], 아쿠아로빅 주2회 추첨제, 아쿠아로빅 주1회 추첨제, 아쿠아핏[테크] / 특화"
두류수영장,대구광역시,수영장,수영_화목토_교정B반(11시10분),대구광역시 달서구 공원순환로 237 (성당동),35.8462696,128.5622922,수영
마장국민체육센터,서울특별시,생활체육관,테라피 요가07B(생명안전배움터),서울특별시 성동구 마조로11길 6 (마장동),37.5621277,127.0407835,"생활스포츠, 헬스 PT, 헬스"
문학박태환수영장,인천광역시,수영장,(20)저녁2반_주2회(초급),인천광역시 남구 매소홀로 618 (문학동),37.4352191,126.6907208,수영
미추홀구 국민체육센터,인천광역시,수영장,19시 직장인_기초,인천광역시 미추홀구 경인로42번길 57 (숭의동),37.4620281,126.6495438,"수영 프로그램, 전체"
백운커뮤니티센터,경기도,수영장,19시 화목 입문(성인남녀/청소년),경기도 의왕시 백운중앙로 74 (학의동),37.3700313,127.0076491,No Data
백운포체육공원 (테니스장),부산광역시,테니스장,테니스개인레슨08시20분,부산광역시 남구 백운포로 108 (용호동),35.1038691,129.1093425,No Data
보령국민체육센터수영장,충청남도,수영장,10시 오전수영[중급반],충청남도 보령시 남포면 보령남로 347,36.3137807,126.6039428,No Data
부곡다목적실내체육관,경기도,구기체육관,부곡 10시 화목 배구,경기도 의왕시 부곡공원길 6 (월암동),37.3146454,126.958754,No Data
부곡스포츠센터,경기도,생활체육관,09시 화목 멀티근력댄스,경기도 의왕시 부곡시장길 77 (삼동),37.3186034,126.9572101,No Data
부산국민체육센터,부산광역시,생활체육관,직장인요가 A반,부산광역시 서구 대신로 150 (서대신동3가),35.1173274,129.0157781,"요가, 성인·어린이 배드민턴, 체조댄스, 헬스, 필라테스, 탁구,농구,축구"
부산진구 국민체육센터,부산광역시,수영장,새벽수영 06_새벽수영A,부산광역시 부산진구 진남로328번길 35 (전포동),35.1554298,129.0738176,"수영강습, 주말프로그램, 헬스, 생활체육-체육관, 생활체육-스튜디오"
북구국민체육센터,울산광역시,생활체육관,"바디체인지(A) 15시(수,금)",울산광역시 북구 호계로 416-31 (신천동),35.6427671,129.3470136,"스튜디오, 수영강습프로그램, 헬스, 체육관, 초등수영"
북구국민체육센터,부산광역시,생활체육관,에어로빅(A) 21시,부산광역시 북구 화명대로94번길 83 (화명동),35.2318692,129.017753,"스튜디오, 수영강습프로그램, 헬스, 체육관, 초등수영"
분당야탑청소년수련관수영장,경기도,수영장,(성인)월자유수영(월-금20시),경기도 성남시 분당구 벌말로30번길 35(야탑동),37.4102383,127.1418618,"수영월자유수영, 수영교실"
